,POPULARITY,BUCKET,TOTAL_SELL,LIKE_,REVIEW,PRICE,FIRST_PAGE
0,7.0,7.0,7.0,7.0,7.0,2.0,1
1,7.0,7.0,7.0,7.0,7.0,7.0,1
2,7.0,7.0,7.0,7.0,7.0,5.0,1
3,7.0,7.0,7.0,7.0,7.0,7.0,1
4,7.0,7.0,7.0,7.0,7.0,6.0,1
6,7.0,7.0,7.0,7.0,7.0,6.0,1
7,7.0,7.0,7.0,7.0,7.0,2.0,1
9,7.0,7.0,7.0,7.0,7.0,4.0,1
10,7.0,7.0,7.0,7.0,7.0,4.0,1
11,7.0,7.0,7.0,7.0,7.0,7.0,1
13,7.0,7.0,7.0,7.0,7.0,5.0,1
14,7.0,7.0,7.0,7.0,7.0,2.0,1
15,7.0,7.0,7.0,7.0,7.0,5.0,1
16,7.0,7.0,7.0,7.0,7.0,5.0,1
17,7.0,6.0,5.0,6.0,6.0,7.0,1
19,7.0,7.0,7.0,7.0,7.0,4.0,1
21,7.0,7.0,7.0,7.0,7.0,4.0,1
23,7.0,7.0,7.0,7.0,7.0,3.0,1
24,7.0,7.0,7.0,7.0,7.0,7.0,1
25,7.0,7.0,6.0,7.0,6.0,7.0,1
26,7.0,7.0,7.0,7.0,7.0,3.0,1
27,7.0,6.0,6.0,6.0,4.0,7.0,1
29,7.0,7.0,7.0,7.0,6.0,6.0,1
31,7.0,7.0,7.0,7.0,7.0,5.0,1
32,7.0,7.0,7.0,7.0,7.0,7.0,1
33,7.0,7.0,7.0,7.0,7.0,6.0,1
34,7.0,7.0,7.0,7.0,7.0,3.0,1
35,7.0,7.0,7.0,7.0,7.0,5.0,1
36,7.0,7.0,6.0,6.0,4.0,7.0,1
37,7.0,7.0,7.0,7.0,7.0,5.0,1
38,7.0,7.0,7.0,7.0,7.0,4.0,1
39,7.0,7.0,7.0,7.0,7.0,6.0,1
40,7.0,6.0,6.0,6.0,5.0,7.0,1
41,7.0,7.0,6.0,7.0,5.0,6.0,1
42,7.0,7.0,6.0,7.0,0.0,6.0,1
44,7.0,7.0,7.0,7.0,7.0,6.0,1
45,7.0,6.0,6.0,6.0,6.0,7.0,1
46,7.0,7.0,7.0,7.0,7.0,4.0,1
48,7.0,7.0,7.0,7.0,7.0,4.0,1
50,7.0,7.0,7.0,7.0,7.0,3.0,1
51,7.0,7.0,7.0,7.0,7.0,2.0,1
53,7.0,7.0,7.0,7.0,7.0,6.0,1
54,7.0,7.0,7.0,6.0,7.0,4.0,1
55,7.0,7.0,6.0,6.0,5.0,7.0,1
56,7.0,7.0,7.0,7.0,7.0,7.0,1
57,7.0,7.0,7.0,7.0,7.0,6.0,1
58,7.0,7.0,7.0,7.0,7.0,7.0,1
59,7.0,7.0,7.0,7.0,7.0,5.0,1
60,7.0,5.0,2.0,4.0,5.0,7.0,1
61,7.0,6.0,6.0,6.0,6.0,7.0,1
63,7.0,7.0,7.0,7.0,6.0,3.0,1
64,7.0,7.0,7.0,7.0,7.0,6.0,1
65,7.0,7.0,7.0,7.0,7.0,6.0,1
67,7.0,7.0,7.0,7.0,7.0,7.0,1
68,7.0,7.0,7.0,7.0,6.0,6.0,1
69,7.0,7.0,7.0,7.0,7.0,6.0,1
72,7.0,7.0,7.0,7.0,7.0,4.0,1
77,7.0,7.0,7.0,7.0,7.0,5.0,1
91,7.0,7.0,7.0,7.0,7.0,4.0,1
109,7.0,7.0,7.0,7.0,6.0,6.0,1
112,7.0,6.0,6.0,6.0,7.0,7.0,1
116,7.0,7.0,7.0,7.0,7.0,6.0,1
118,6.0,5.0,4.0,5.0,8.0,7.0,1
120,7.0,7.0,7.0,7.0,7.0,6.0,1
139,7.0,7.0,7.0,7.0,7.0,7.0,1
140,7.0,7.0,7.0,7.0,7.0,2.0,1
141,7.0,7.0,7.0,7.0,7.0,7.0,1
142,5.0,3.0,3.0,2.0,3.0,7.0,1
144,7.0,7.0,7.0,7.0,7.0,4.0,1
146,7.0,7.0,6.0,6.0,5.0,7.0,1
148,7.0,5.0,5.0,5.0,4.0,7.0,1
149,7.0,7.0,7.0,7.0,7.0,3.0,1
152,6.0,6.0,6.0,6.0,5.0,6.0,1
